id,category,question,event_title,volume,created_at,end_date
500320,Geopolitics,Israel ground offensive in Rafah by April 30?,Israel ground offensive in Rafah by April 30?,129294.969843,2024-03-19 18:05:58+00:00,2024-04-30 12:00:00+00:00
500325,Geopolitics,Will Israel invade Lebanon before May?,Will Israel invade Lebanon before May?,186815.830004,2024-03-19 18:10:41+00:00,2024-04-30 04:00:00+00:00
500357,Macro,Fed raises interest rates by 25+ bps after 2024 May meeting?,Fed Interest Rates: May 2024,286083.436551,2024-03-20 19:28:30+00:00,2024-04-30 12:00:00+00:00
500358,Macro,No change in Fed interest rates after 2024 May meeting?,Fed Interest Rates: May 2024,165142.107795,2024-03-20 19:29:35+00:00,2024-04-30 12:00:00+00:00
500359,Macro,Fed decreases interest rates by 25 bps after 2024 May meeting?,Fed Interest Rates: May 2024,234731.018528,2024-03-20 19:31:44+00:00,2024-04-30 12:00:00+00:00
500360,Macro,Fed decreases interest rates by 50+ bps after May 2024 meeting?,Fed Interest Rates: May 2024,214654.559785,2024-03-20 19:33:08+00:00,2024-04-30 12:00:00+00:00
500391,Politics,Trump convicted of felony before Election?,Trump convicted of felony before Election?,145583.300764,2024-03-22 16:18:02+00:00,2024-11-04 12:00:00+00:00
500414,Geopolitics,Ukraine responsible for Moscow attack? ,Ukraine responsible for Moscow attack? ,349784.90005,2024-03-22 20:21:47+00:00,2024-03-31 12:00:00+00:00
500415,Politics,Will Trump be Speaker by May 1?,Will Trump be Speaker by May 1?,229198.851952,2024-03-22 22:50:24+00:00,2024-05-01 12:00:00+00:00
500427,Politics,Will Trump announce his VP pick in May?,When will Trump announce VP pick?,127791.023218,2024-03-25 16:30:42+00:00,2024-05-31 12:00:00+00:00
500430,Politics,Will Trump announce his VP pick later?,When will Trump announce VP pick?,140195.79014,2024-03-25 16:34:23+00:00,2024-07-31 12:00:00+00:00
500444,Geopolitics,Will Putin remain President of Russia through 2024?,Will Putin remain President of Russia through 2024?,2187634.15316501,2024-03-26 14:25:57+00:00,2024-12-31 12:00:00+00:00
500502,Politics,Will Biden pardon SBF?,Who will Biden pardon?,8209070.796648,2024-03-28 16:43:29+00:00,2025-01-20 12:00:00+00:00
500508,Politics,"Will Donald Trump be President of the USA on July 4, 2024?",Will Donald Trump be President of the USA on...?,123498.380964,2024-03-28 18:20:38+00:00,2024-07-04 12:00:00+00:00
500630,Politics,"2024 Balance of Power: D Prez, D Senate, D House",Balance of Power: 2024 Election,5444340.53142,2024-04-02 19:57:39+00:00,2024-11-05 12:00:00+00:00
500631,Politics,2024 Balance of Power: R Prez R Senate R House,Balance of Power: 2024 Election,11132803.610888,2024-04-02 20:00:08+00:00,2024-11-05 12:00:00+00:00
500632,Politics,"2024 Balance of Power: D Prez, R Senate, D House",Balance of Power: 2024 Election,5535870.047873,2024-04-02 20:04:50+00:00,2024-11-05 12:00:00+00:00
500635,Politics,"2024 Balance of Power: D Prez, D Senate, R House",Balance of Power: 2024 Election,5833432.223511,2024-04-02 21:38:24+00:00,2024-11-05 12:00:00+00:00
500636,Politics,"2024 Balance of Power: R Prez, D Senate, R House",Balance of Power: 2024 Election,6332605.568078,2024-04-02 21:40:20+00:00,2024-11-05 12:00:00+00:00
500637,Politics,"2024 Balance of Power: R Prez, R Senate, D House",Balance of Power: 2024 Election,9322470.30561,2024-04-02 21:41:51+00:00,2024-11-05 12:00:00+00:00
500638,Politics,"2024 Balance of Power: D Prez, R Senate, R House",Balance of Power: 2024 Election,5546240.024256,2024-04-02 22:12:27+00:00,2024-11-05 12:00:00+00:00
500639,Politics,"2024 Balance of Power: R Prez, D Senate, D House",Balance of Power: 2024 Election,6481908.722395,2024-04-02 22:14:51+00:00,2024-11-05 12:00:00+00:00
500640,Politics,2024 Balance of Power: Other,Balance of Power: 2024 Election,24501103.382891,2024-04-02 22:28:25+00:00,2024-11-05 12:00:00+00:00
500682,Politics,Will Trump mention $boden before July?,Will Trump mention $boden before July?,205741.145702,2024-04-04 15:50:56+00:00,2024-06-30 12:00:00+00:00
500734,Geopolitics,Will Ukraine join NATO in 2024?,Will Ukraine join NATO in 2024?,2220103.217027,2024-04-04 18:35:35+00:00,2024-12-31 12:00:00+00:00
500741,Macro,U.S. Recession in 2024?,U.S. Recession in 2024?,875848.13851399,2024-04-04 21:53:47+00:00,2024-12-31 12:00:00+00:00
500832,Politics,Indian Election: Will BJP win a majority of seats?,Indian Election: Will BJP win a majority of seats?,205623.838929,2024-04-09 18:14:51+00:00,2024-06-01 12:00:00+00:00
500889,Geopolitics,Israel military action against Iran by April 15?,Israel military action against Iran by April 15?,307829.249625,2024-04-11 15:25:16+00:00,2024-04-15 12:00:00+00:00
500890,Geopolitics,U.S. military action against Iran by April 15?,U.S. military action against Iran by April 15?,276950.661153,2024-04-11 15:35:38+00:00,2024-04-15 12:00:00+00:00
500924,Politics,Kamala flips a 2020 Trump state?,Kamala flips a 2020 Trump state?,1064673.512691,2024-04-12 20:49:59+00:00,2024-11-05 12:00:00+00:00
500925,Politics,Trump flips a 2020 Biden state?,Trump flips a 2020 Biden state?,338528.214849,2024-04-12 21:46:55+00:00,2024-11-05 12:00:00+00:00
500943,Geopolitics,Israel military action against Iran by Friday?,Israel military action against Iran by Friday?,391886.623795,2024-04-15 03:26:22+00:00,2024-04-19 12:00:00+00:00
500945,Geopolitics,Iran Nuke by July 31?,Iran Nuke by July 31?,116621.042454,2024-04-15 15:15:10+00:00,2024-07-31 12:00:00+00:00
500996,Politics,Kamala Harris wins a solid red state?,Kamala Harris wins a solid red state?,869286.716847,2024-04-16 15:14:54+00:00,2024-11-05 12:00:00+00:00
501038,Politics,Will the NDA win less than 300 seats?,Indian Election: How many seats will the NDA win?,134649.623854,2024-04-18 16:50:40+00:00,2024-06-04 12:00:00+00:00
501039,Politics,Will the NDA win 300-325 seats?,Indian Election: How many seats will the NDA win?,111205.504421,2024-04-18 16:53:36+00:00,2024-06-04 12:00:00+00:00
501040,Politics,Will the NDA win 326-350 seats?,Indian Election: How many seats will the NDA win?,126459.580507,2024-04-18 16:53:52+00:00,2024-06-04 12:00:00+00:00
501062,Politics,Trump wins a solid blue state?,Trump wins a solid blue state?,2292725.611237,2024-04-18 21:33:27+00:00,2024-11-05 12:00:00+00:00
501114,Politics,Will Trump be Speaker by July 1?,Will Trump be Speaker by July 1?,140097.295466,2024-04-22 16:36:35+00:00,2024-07-01 12:00:00+00:00
501126,Geopolitics,Israel and Saudi Arabia normalize relations before U.S. election?,Israel and Saudi Arabia normalize relations before U.S. election?,133184.532627,2024-04-22 19:54:56+00:00,2024-11-05 12:00:00+00:00
501166,Politics,Unrealized gains tax passed before election day?,Unrealized gains tax passed before election day?,108965.10334,2024-04-25 03:48:00+00:00,2024-11-04 12:00:00+00:00
